,scenario,sample_size,s_factor,value_f
118,chen4,200,0.99,2.7985579783126826
119,chen4,200,0.99,5.0941183032373285
120,chen4,400,0.5,-4.790023308771826
121,chen4,400,0.5,5.527202573005501
122,chen4,400,0.5,5.6872798400696
123,chen4,400,0.5,5.520831071042229
124,chen4,400,0.5,5.389555440603209
125,chen4,400,0.525,-4.790023308771826
126,chen4,400,0.525,5.538333812345042
127,chen4,400,0.525,5.6910541971517254
128,chen4,400,0.525,5.525476621891705
129,chen4,400,0.525,5.394456657358689
130,chen4,400,0.55,-4.790023308771826
131,chen4,400,0.55,5.5526060089161104
132,chen4,400,0.55,5.693221146537825
133,chen4,400,0.55,5.532453418536776
134,chen4,400,0.55,5.396311952382079
135,chen4,400,0.6,-4.790023308771826
136,chen4,400,0.6,5.598825299064381
137,chen4,400,0.6,5.69699550361995
138,chen4,400,0.6,5.540928512209868
139,chen4,400,0.6,5.400535945653765
140,chen4,400,0.7,5.667465076816554
141,chen4,400,0.7,5.646018267578704
142,chen4,400,0.7,5.70706045583895
143,chen4,400,0.7,5.563094288992309
144,chen4,400,0.7,5.409501311818195
145,chen4,400,0.8,-4.790023308771826
146,chen4,400,0.8,5.671359200872075
147,chen4,400,0.8,5.7173527035873715
148,chen4,400,0.8,5.59438591957991
149,chen4,400,0.8,5.428758078705156
150,chen4,400,0.9,5.696301576688167
151,chen4,400,0.9,5.736231724207389
152,chen4,400,0.9,5.7236574527235815
153,chen4,400,0.9,5.618845360308179
154,chen4,400,0.9,5.454547400759129
155,chen4,400,0.99,5.707868321850544
156,chen4,400,0.99,5.790639141711255
157,chen4,400,0.99,5.744114884352468
158,chen4,400,0.99,5.665701537583075
159,chen4,400,0.99,5.486347744151653
160,chen4,800,0.5,6.0120097308242775
161,chen4,800,0.5,5.455943833967567
162,chen4,800,0.5,6.153050024494457
163,chen4,800,0.5,6.341267401129749
164,chen4,800,0.5,5.783650089587668
165,chen4,800,0.525,6.006313024435937
166,chen4,800,0.525,5.469111115552168
167,chen4,800,0.525,6.149039518061367
168,chen4,800,0.525,6.356639267518069
169,chen4,800,0.525,5.784170324360005
170,chen4,800,0.55,6.010420714395098
171,chen4,800,0.55,5.467825348981962
172,chen4,800,0.55,6.167434690859022
173,chen4,800,0.55,6.360458906606207
174,chen4,800,0.55,5.787276819377569
175,chen4,800,0.6,6.0147877485051024
176,chen4,800,0.6,5.4684698335588715
177,chen4,800,0.6,5.970168313285849
178,chen4,800,0.6,6.361875283415148
179,chen4,800,0.6,5.789276508771392
180,chen4,800,0.7,6.020120644319013
181,chen4,800,0.7,5.471785671735365
182,chen4,800,0.7,6.177643961858192
183,chen4,800,0.7,6.373922781265059
184,chen4,800,0.7,5.7917961568250815
185,chen4,800,0.8,6.021403410151138
186,chen4,800,0.8,5.4811720544080496
187,chen4,800,0.8,5.9778188953280855
188,chen4,800,0.8,6.392566596599846
189,chen4,800,0.8,5.799519443925155
190,chen4,800,0.9,6.022758491610482
191,chen4,800,0.9,5.484378464374528
192,chen4,800,0.9,5.982144807330572
193,chen4,800,0.9,6.401349574390684
194,chen4,800,0.9,5.8060370368101175
195,chen4,800,0.99,6.041546479630392
196,chen4,800,0.99,5.503064293955834
197,chen4,800,0.99,6.151259350510087
198,chen4,800,0.99,6.425076798569792
199,chen4,800,0.99,5.812987753218022
