scenario,sample_size,s_factor,value_f
chen2,50,53.0,0.0770536425313
chen2,50,53.0,-4.94996196501
chen2,50,53.0,2.80256406926
chen2,50,53.0,0.598119125056
chen2,50,53.0,2.14370797344
chen2,50,53.0,3.23741560554
chen2,50,53.0,4.00308680878
chen2,50,53.0,2.06465450964
chen2,50,53.0,2.94738587691
chen2,50,53.0,4.29355725661
chen2,50,53.0,3.48424483144
chen2,50,53.0,3.73097488552
chen2,50,53.0,2.98522242764
chen2,50,53.0,3.66192821474
chen2,50,53.0,3.15939285367
chen2,50,53.0,1.78279834099
chen2,50,53.0,3.46148834425
chen2,50,53.0,2.72679231454
chen2,50,53.0,3.06013899816
chen2,50,53.0,3.2597256537
chen2,50,53.0,1.78687483186
chen2,50,53.0,3.14942096586
chen2,50,53.0,-5.13648140834
chen2,50,53.0,2.79302651412
chen2,50,53.0,2.66779898507
chen2,50,53.0,2.77215149619
chen2,50,53.0,2.54184461532
chen2,50,54.0,2.28103632324
chen2,50,54.0,1.66735163141
chen2,50,54.0,3.35992243816
chen2,50,54.0,3.63536314518
chen2,50,54.0,1.90472169378
chen2,50,54.0,-2.82480309916
chen2,50,54.0,3.17865867935
chen2,50,54.0,-0.589796443178
chen2,50,54.0,2.31078448852
chen2,50,54.0,2.14278206784
chen2,50,54.0,2.63772656143
chen2,50,54.0,2.85452641686
chen2,50,54.0,3.11344903132
chen2,50,54.0,3.19855549243
chen2,50,54.0,-3.65630359077
chen2,50,54.0,2.03734015188
chen2,50,54.0,2.70890216934
chen2,50,54.0,0.466280591553
chen2,50,54.0,0.685003621539
chen2,50,54.0,0.978370485319
chen2,50,54.0,4.0063689119
chen2,50,54.0,-4.66463204708
chen2,50,54.0,2.02687134024
chen2,50,54.0,0.0757829131653
chen2,50,54.0,-4.94996196501
chen2,50,54.0,2.80918674519
chen2,50,54.0,0.628267292928
chen2,50,54.0,2.14432916533
chen2,50,54.0,3.24057382301
chen2,50,54.0,4.00623894055
chen2,50,54.0,2.07794867195
chen2,50,54.0,2.94738587691
chen2,50,54.0,4.30688002439
chen2,50,54.0,3.48361924989
chen2,50,54.0,3.73627452543
chen2,50,54.0,2.98582525122
chen2,50,54.0,3.67727995676
